Seq,AOU,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,Genus,Species
2926,15860,Gray-collared Becard,B?carde du Mexique,Pachyramphus major,Passeriformes,Tityridae,Pachyramphus,major
2929,4411,Rose-throated Becard,B?carde ? gorge rose,Pachyramphus aglaiae,Passeriformes,Tityridae,Pachyramphus,aglaiae
2932,15920,Lovely Cotinga,Cotinga c?leste,Cotinga amabilis,Passeriformes,Cotingidae,Cotinga,amabilis
2935,15910,Rufous Piha,Piauhau roux,Lipaugus unirufus,Passeriformes,Cotingidae,Lipaugus,unirufus
2938,16050,White-collared Manakin,Manakin ? col blanc,Manacus candei,Passeriformes,Pipridae,Manacus,candei
2941,16090,Long-tailed Manakin,Manakin fastueux,Chiroxiphia linearis,Passeriformes,Pipridae,Chiroxiphia,linearis
2944,16130,Red-capped Manakin,Manakin ? cuisses jaunes,Pipra mentalis,Passeriformes,Pipridae,Pipra,mentalis
2947,6211,Brown Shrike,Pie-gri?che brune,Lanius cristatus,Passeriformes,Laniidae,Lanius,cristatus
2950,6220,Loggerhead Shrike,Pie-gri?che migratrice,Lanius ludovicianus,Passeriformes,Laniidae,Lanius,ludovicianus
2953,6210,Northern Shrike,Pie-gri?che grise,Lanius excubitor,Passeriformes,Laniidae,Lanius,excubitor
2956,17260,Slaty Vireo,Vir?o ardois?,Vireo brevipennis,Passeriformes,Vireonidae,Vireo,brevipennis
2959,6310,White-eyed Vireo,Vir?o aux yeux blancs,Vireo griseus,Passeriformes,Vireonidae,Vireo,griseus
2962,17270,Thick-billed Vireo,Vir?o ? bec fort,Vireo crassirostris,Passeriformes,Vireonidae,Vireo,crassirostris
2965,17280,Mangrove Vireo,Vir?o des mangroves,Vireo pallens,Passeriformes,Vireonidae,Vireo,pallens
2968,17290,Cozumel Vireo,Vir?o de Cozumel,Vireo bairdi,Passeriformes,Vireonidae,Vireo,bairdi
2971,17330,Puerto Rican Vireo,Vir?o de Porto Rico,Vireo latimeri,Passeriformes,Vireonidae,Vireo,latimeri
2974,6330,Bell's Vireo,Vir?o de Bell,Vireo bellii,Passeriformes,Vireonidae,Vireo,bellii
2977,6300,Black-capped Vireo,Vir?o ? t?te noire,Vireo atricapilla,Passeriformes,Vireonidae,Vireo,atricapilla
2980,17350,Dwarf Vireo,Vir?o nain,Vireo nelsoni,Passeriformes,Vireonidae,Vireo,nelsoni
2983,6340,Gray Vireo,Vir?o gris,Vireo vicinior,Passeriformes,Vireonidae,Vireo,vicinior
2986,6280,Yellow-throated Vireo,Vir?o ? gorge jaune,Vireo flavifrons,Passeriformes,Vireonidae,Vireo,flavifrons
2989,6292,Plumbeous Vireo,Vir?o plomb?,Vireo plumbeus,Passeriformes,Vireonidae,Vireo,plumbeus
2992,6291,Cassin's Vireo,Vir?o de Cassin,Vireo cassinii,Passeriformes,Vireonidae,Vireo,cassinii
2995,6290,Blue-headed Vireo,Vir?o ? t?te bleue,Vireo solitarius,Passeriformes,Vireonidae,Vireo,solitarius
2998,6295,unid. Plumbeous / Cassin's / Blue-headed Vireo,unid Vir?o plomb? / de Cassin / ? t?te bleue,Vireo plumbeus / cassinii / solitarius,Passeriformes,Vireonidae,Vireo,plumbeus / cassinii / solitarius
3001,6320,Hutton's Vireo,Vir?o de Hutton,Vireo huttoni,Passeriformes,Vireonidae,Vireo,huttoni
3004,17380,Golden Vireo,Vir?o dor?,Vireo hypochryseus,Passeriformes,Vireonidae,Vireo,hypochryseus
3007,6270,Warbling Vireo,Vir?o m?lodieux,Vireo gilvus,Passeriformes,Vireonidae,Vireo,gilvus
3010,17390,Brown-capped Vireo,Vir?o ? calotte brune,Vireo leucophrys,Passeriformes,Vireonidae,Vireo,leucophrys
3013,6260,Philadelphia Vireo,Vir?o de Philadelphie,Vireo philadelphicus,Passeriformes,Vireonidae,Vireo,philadelphicus
3016,6240,Red-eyed Vireo,Vir?o aux yeux rouges,Vireo olivaceus,Passeriformes,Vireonidae,Vireo,olivaceus
3019,6250,Yellow-green Vireo,Vir?o jaune-verd?tre,Vireo flavoviridis,Passeriformes,Vireonidae,Vireo,flavoviridis
3022,6230,Black-whiskered Vireo,Vir?o ? moustaches,Vireo altiloquus,Passeriformes,Vireonidae,Vireo,altiloquus
3025,6231,Yucatan Vireo,Vir?o du Yucatan,Vireo magister,Passeriformes,Vireonidae,Vireo,magister
3028,17420,Tawny-crowned Greenlet,Vir?on ? calotte rousse,Hylophilus ochraceiceps,Passeriformes,Vireonidae,Hylophilus,ochraceiceps
3031,17440,Lesser Greenlet,Vir?on menu,Hylophilus decurtatus,Passeriformes,Vireonidae,Hylophilus,decurtatus
3034,17450,Chestnut-sided Shrike-Vireo,Smaragdan ceintur?,Vireolanius melitophrys,Passeriformes,Vireonidae,Vireolanius,melitophrys
3037,17460,Green Shrike-Vireo,Smaragdan ?meraude,Vireolanius pulchellus,Passeriformes,Vireonidae,Vireolanius,pulchellus
3040,17480,Rufous-browed Peppershrike,Sourciroux m?lodieux,Cyclarhis gujanensis,Passeriformes,Vireonidae,Cyclarhis,gujanensis
3043,4840,Canada Jay,M?sangeai du Canada,Perisoreus canadensis,Passeriformes,Corvidae,Perisoreus,canadensis
3046,16340,White-throated Jay,Geai masqu?,Cyanolyca mirabilis,Passeriformes,Corvidae,Cyanolyca,mirabilis
3049,16320,Dwarf Jay,Geai nain,Cyanolyca nana,Passeriformes,Corvidae,Cyanolyca,nana
3052,16310,Black-throated Jay,Geai ? gorge noire,Cyanolyca pumilo,Passeriformes,Corvidae,Cyanolyca,pumilo
3055,16300,Azure-hooded Jay,Geai couronn?,Cyanolyca cucullata,Passeriformes,Corvidae,Cyanolyca,cucullata
3058,16230,Black-throated Magpie-Jay,Geai ? face noire,Calocitta colliei,Passeriformes,Corvidae,Calocitta,colliei
3061,16240,White-throated Magpie-Jay,Geai ? face blanche,Calocitta formosa,Passeriformes,Corvidae,Calocitta,formosa
3064,4832,Brown Jay,Geai enfum?,Psilorhinus morio,Passeriformes,Corvidae,Psilorhinus,morio
3067,16250,Tufted Jay,Geai panach?,Cyanocorax dickeyi,Passeriformes,Corvidae,Cyanocorax,dickeyi
3070,4830,Green Jay,Geai vert,Cyanocorax yncas,Passeriformes,Corvidae,Cyanocorax,yncas
3073,4831,San Blas Jay,Geai de San Blas,Cyanocorax sanblasianus,Passeriformes,Corvidae,Cyanocorax,sanblasianus
3076,16280,Yucatan Jay,Geai du Yucatan,Cyanocorax yucatanicus,Passeriformes,Corvidae,Cyanocorax,yucatanicus
3079,16290,Purplish-backed Jay,Geai ? dos violet,Cyanocorax beecheii,Passeriformes,Corvidae,Cyanocorax,beecheii
3082,4920,Pinyon Jay,Geai des pin?des,Gymnorhinus cyanocephalus,Passeriformes,Corvidae,Gymnorhinus,cyanocephalus
3085,4780,Steller's Jay,Geai de Steller,Cyanocitta stelleri,Passeriformes,Corvidae,Cyanocitta,stelleri
3088,4770,Blue Jay,Geai bleu,Cyanocitta cristata,Passeriformes,Corvidae,Cyanocitta,cristata
3091,4790,Florida Scrub-Jay,Geai ? gorge blanche,Aphelocoma coerulescens,Passeriformes,Corvidae,Aphelocoma,coerulescens
3094,4811,Island Scrub-Jay,Geai de Santa Cruz,Aphelocoma insularis,Passeriformes,Corvidae,Aphelocoma,insularis
3097,4810,Western Scrub-Jay,Geai buissonnier,Aphelocoma californica,Passeriformes,Corvidae,Aphelocoma,californica
3100,4821,Transvolcanic Jay,Geai des volcans,Aphelocoma ultramarina,Passeriformes,Corvidae,Aphelocoma,ultramarina
3103,4820,Mexican Jay,Geai du Mexique,Aphelocoma wollweberi,Passeriformes,Corvidae,Aphelocoma,wollweberi
3106,16350,Unicolored Jay,Geai unicolore,Aphelocoma unicolor,Passeriformes,Corvidae,Aphelocoma,unicolor
3109,4910,Clark's Nutcracker,Cassenoix d'Am?rique,Nucifraga columbiana,Passeriformes,Corvidae,Nucifraga,columbiana
3112,4750,Black-billed Magpie,Pie d?Am?rique,Pica hudsonia,Passeriformes,Corvidae,Pica,hudsonia
3115,4760,Yellow-billed Magpie,Pie ? bec jaune,Pica nuttalli,Passeriformes,Corvidae,Pica,nuttalli
3118,4903,Eurasian Jackdaw,Choucas des tours,Corvus monedula,Passeriformes,Corvidae,Corvus,monedula
3121,4880,American Crow,Corneille d'Am?rique,Corvus brachyrhynchos,Passeriformes,Corvidae,Corvus,brachyrhynchos
3124,4890,Northwestern Crow,Corneille d'Alaska,Corvus caurinus,Passeriformes,Corvidae,Corvus,caurinus
3127,16380,White-necked Crow,Corneille d'Hispaniola,Corvus leucognaphalus,Passeriformes,Corvidae,Corvus,leucognaphalus
3130,4891,Tamaulipas Crow,Corneille du Mexique,Corvus imparatus,Passeriformes,Corvidae,Corvus,imparatus
3133,16351,Sinaloa Crow,Corneille du Sinaloa,Corvus sinaloae,Passeriformes,Corvidae,Corvus,sinaloae
3136,4900,Fish Crow,Corneille de rivage,Corvus ossifragus,Passeriformes,Corvidae,Corvus,ossifragus
3139,4881,unid. Crow,unid Corneille sp.,"""Crow"" sp.",Passeriformes,Corvidae,"""Crow""",sp.
3145,4870,Chihuahuan Raven,Corbeau ? cou blanc,Corvus cryptoleucus,Passeriformes,Corvidae,Corvus,cryptoleucus
3148,4860,Common Raven,Grand Corbeau,Corvus corax,Passeriformes,Corvidae,Corvus,corax
3151,4865,unid. Raven,unid Corbeau sp.,"""Raven"" sp.",Passeriformes,Corvidae,"""Raven""",sp.
3163,4730,Sky Lark,Alouette des champs,Alauda arvensis,Passeriformes,Alaudidae,Alauda,arvensis
3166,4740,Horned Lark,Alouette hausse-col,Eremophila alpestris,Passeriformes,Alaudidae,Eremophila,alpestris
3169,6110,Purple Martin,Hirondelle noire,Progne subis,Passeriformes,Hirundinidae,Progne,subis
3172,6111,Cuban Martin,Hirondelle de Cuba,Progne cryptoleuca,Passeriformes,Hirundinidae,Progne,cryptoleuca
3175,6113,Caribbean Martin,Hirondelle ? ventre blanc,Progne dominicensis,Passeriformes,Hirundinidae,Progne,dominicensis
3178,16160,Sinaloa Martin,Hirondelle du Sinaloa,Progne sinaloae,Passeriformes,Hirundinidae,Progne,sinaloae
3181,6112,Gray-breasted Martin,Hirondelle chalyb?e,Progne chalybea,Passeriformes,Hirundinidae,Progne,chalybea
3184,6114,Southern Martin,Hirondelle gracieuse,Progne elegans,Passeriformes,Hirundinidae,Progne,elegans
3187,6115,Brown-chested Martin,Hirondelle tap?re,Progne tapera,Passeriformes,Hirundinidae,Progne,tapera
3190,6140,Tree Swallow,Hirondelle bicolore,Tachycineta bicolor,Passeriformes,Hirundinidae,Tachycineta,bicolor
3193,16170,Mangrove Swallow,Hirondelle des mangroves,Tachycineta albilinea,Passeriformes,Hirundinidae,Tachycineta,albilinea
3196,6150,Violet-green Swallow,Hirondelle ? face blanche,Tachycineta thalassina,Passeriformes,Hirundinidae,Tachycineta,thalassina
3199,6151,Bahama Swallow,Hirondelle des Bahamas,Tachycineta cyaneoviridis,Passeriformes,Hirundinidae,Tachycineta,cyaneoviridis
3202,16190,Blue-and-white Swallow,Hirondelle bleu et blanc,Pygochelidon cyanoleuca,Passeriformes,Hirundinidae,Pygochelidon,cyanoleuca
3205,16200,Black-capped Swallow,Hirondelle ? t?te noire,Notiochelidon pileata,Passeriformes,Hirundinidae,Notiochelidon,pileata
3208,6170,Northern Rough-winged Swallow,Hirondelle ? ailes h?riss?es,Stelgidopteryx serripennis,Passeriformes,Hirundinidae,Stelgidopteryx,serripennis
3211,16220,Southern Rough-winged Swallow,Hirondelle ? gorge rousse,Stelgidopteryx ruficollis,Passeriformes,Hirundinidae,Stelgidopteryx,ruficollis
3214,6160,Bank Swallow,Hirondelle de rivage,Riparia riparia,Passeriformes,Hirundinidae,Riparia,riparia
3217,6120,Cliff Swallow,Hirondelle ? front blanc,Petrochelidon pyrrhonota,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota
3220,6121,Cave Swallow,Hirondelle ? front brun,Petrochelidon fulva,Passeriformes,Hirundinidae,Petrochelidon,fulva
3223,6122,unid. Cave Swallow / Cliff Swallow,unid Hirondelle ? front blanc / ? front brun,Petrochelidon pyrrhonota / fulva,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota / fulva
3226,6130,Barn Swallow,Hirondelle rustique,Hirundo rustica,Passeriformes,Hirundinidae,Hirundo,rustica
3229,6152,Common House-Martin,Hirondelle de fen?tre,Delichon urbicum,Passeriformes,Hirundinidae,Delichon,urbicum
3232,7360,Carolina Chickadee,M?sange de Caroline,Poecile carolinensis,Passeriformes,Paridae,Poecile,carolinensis
3235,7350,Black-capped Chickadee,M?sange ? t?te noire,Poecile atricapillus,Passeriformes,Paridae,Poecile,atricapillus
3238,7380,Mountain Chickadee,M?sange de Gambel,Poecile gambeli,Passeriformes,Paridae,Poecile,gambeli
3241,7370,Mexican Chickadee,M?sange grise,Poecile sclateri,Passeriformes,Paridae,Poecile,sclateri
3244,7410,Chestnut-backed Chickadee,M?sange ? dos marron,Poecile rufescens,Passeriformes,Paridae,Poecile,rufescens
3247,7400,Boreal Chickadee,M?sange ? t?te brune,Poecile hudsonicus,Passeriformes,Paridae,Poecile,hudsonicus
3250,7390,Gray-headed Chickadee,M?sange lapone,Poecile cinctus,Passeriformes,Paridae,Poecile,cinctus
3253,7351,unid. Chickadee,unid M?sange sp.,Poecile sp.,Passeriformes,Paridae,Poecile,sp.
3256,7340,Bridled Titmouse,M?sange arlequin,Baeolophus wollweberi,Passeriformes,Paridae,Baeolophus,wollweberi
3259,7330,Oak Titmouse,M?sange unicolore,Baeolophus inornatus,Passeriformes,Paridae,Baeolophus,inornatus
3262,7331,Juniper Titmouse,M?sange des gen?vriers,Baeolophus ridgwayi,Passeriformes,Paridae,Baeolophus,ridgwayi
3265,7332,unid. Oak Titmouse / Juniper Titmouse,unid unid M?sange unicolore / M?sange des gen?vrie,Baeolophus inornatus / ridgwayi,Passeriformes,Paridae,Baeolophus,inornatus / ridgwayi
3268,7310,Tufted Titmouse,M?sange bicolore,Baeolophus bicolor,Passeriformes,Paridae,Baeolophus,bicolor
3271,7320,Black-crested Titmouse,M?sange ? plumet noir,Baeolophus atricristatus,Passeriformes,Paridae,Baeolophus,atricristatus
3274,7315,unid. Tufted Titmouse / Black-crested Titmouse,unid M?sange bicolore / M?sange ? plumet noir,Baeolophus bicolor / atricristatus,Passeriformes,Paridae,Baeolophus,bicolor / atricristatus
3277,7460,Verdin,Auripare verdin,Auriparus flaviceps,Passeriformes,Remizidae,Auriparus,flaviceps
3280,7430,Bushtit,M?sange buissonni?re,Psaltriparus minimus,Passeriformes,Aegithalidae,Psaltriparus,minimus
3283,7280,Red-breasted Nuthatch,Sittelle ? poitrine rousse,Sitta canadensis,Passeriformes,Sittidae,Sitta,canadensis
3286,7270,White-breasted Nuthatch,Sittelle ? poitrine blanche,Sitta carolinensis,Passeriformes,Sittidae,Sitta,carolinensis
3289,7300,Pygmy Nuthatch,Sittelle pygm?e,Sitta pygmaea,Passeriformes,Sittidae,Sitta,pygmaea
3292,7290,Brown-headed Nuthatch,Sittelle ? t?te brune,Sitta pusilla,Passeriformes,Sittidae,Sitta,pusilla
3295,7260,Brown Creeper,Grimpereau brun,Certhia americana,Passeriformes,Certhiidae,Certhia,americana
3298,16420,Band-backed Wren,Troglodyte zon?,Campylorhynchus zonatus,Passeriformes,Troglodytidae,Campylorhynchus,zonatus
3301,16430,Gray-barred Wren,Troglodyte z?br?,Campylorhynchus megalopterus,Passeriformes,Troglodytidae,Campylorhynchus,megalopterus
3304,16440,Giant Wren,Troglodyte g?ant,Campylorhynchus chiapensis,Passeriformes,Troglodytidae,Campylorhynchus,chiapensis
3307,16450,Rufous-naped Wren,Troglodyte ? nuque rousse,Campylorhynchus rufinucha,Passeriformes,Troglodytidae,Campylorhynchus,rufinucha
3310,16460,Spotted Wren,Troglodyte tachet?,Campylorhynchus gularis,Passeriformes,Troglodytidae,Campylorhynchus,gularis
3313,16470,Boucard's Wren,Troglodyte de Boucard,Campylorhynchus jocosus,Passeriformes,Troglodytidae,Campylorhynchus,jocosus
3316,16480,Yucatan Wren,Troglodyte du Yucatan,Campylorhynchus yucatanicus,Passeriformes,Troglodytidae,Campylorhynchus,yucatanicus
3319,7130,Cactus Wren,Troglodyte des cactus,Campylorhynchus brunneicapillus,Passeriformes,Troglodytidae,Campylorhynchus,brunneicapillus
3322,7150,Rock Wren,Troglodyte des rochers,Salpinctes obsoletus,Passeriformes,Troglodytidae,Salpinctes,obsoletus
3325,7170,Canyon Wren,Troglodyte des canyons,Catherpes mexicanus,Passeriformes,Troglodytidae,Catherpes,mexicanus
3328,16490,Sumichrast's Wren,Troglodyte ? bec fin,Hylorchilus sumichrasti,Passeriformes,Troglodytidae,Hylorchilus,sumichrasti
3331,16500,Nava's Wren,Troglodyte de Nava,Hylorchilus navai,Passeriformes,Troglodytidae,Hylorchilus,navai
3334,16580,Spot-breasted Wren,Troglodyte ? poitrine tachet?e,Thryothorus maculipectus,Passeriformes,Troglodytidae,Thryothorus,maculipectus
3337,16590,Rufous-and-white Wren,Troglodyte rufalbin,Thryothorus rufalbus,Passeriformes,Troglodytidae,Thryothorus,rufalbus
3340,16600,Sinaloa Wren,Troglodyte du Sinaloa,Thryothorus sinaloa,Passeriformes,Troglodytidae,Thryothorus,sinaloa
3343,16610,Banded Wren,Troglodyte barr?,Thryothorus pleurostictus,Passeriformes,Troglodytidae,Thryothorus,pleurostictus
3346,7180,Carolina Wren,Troglodyte de Caroline,Thryothorus ludovicianus,Passeriformes,Troglodytidae,Thryothorus,ludovicianus
3349,16620,Happy Wren,Troglodyte joyeux,Thryothorus felix,Passeriformes,Troglodytidae,Thryothorus,felix
3352,16640,Plain Wren,Troglodyte modeste,Thryothorus modestus,Passeriformes,Troglodytidae,Thryothorus,modestus
3355,7190,Bewick's Wren,Troglodyte de Bewick,Thryomanes bewickii,Passeriformes,Troglodytidae,Thryomanes,bewickii
3358,7210,House Wren,Troglodyte familier,Troglodytes aedon,Passeriformes,Troglodytidae,Troglodytes,aedon
3361,16650,Socorro Wren,Troglodyte de Socorro,Troglodytes sissonii,Passeriformes,Troglodytidae,Troglodytes,sissonii
3364,16670,Clarion Wren,Troglodyte de Clarion,Troglodytes tanneri,Passeriformes,Troglodytidae,Troglodytes,tanneri
3367,16680,Rufous-browed Wren,Troglodyte ? sourcils roux,Troglodytes rufociliatus,Passeriformes,Troglodytidae,Troglodytes,rufociliatus
3370,7221,Pacific Wren,Troglodyte de Baird,Troglodytes pacificus,Passeriformes,Troglodytidae,Troglodytes,pacificus
3373,7222,Winter Wren,Troglodyte des for?ts,Troglodytes hiemalis,Passeriformes,Troglodytidae,Troglodytes,hiemalis
3376,7220,unid. Pacific Wren / Winter Wren,unid Troglodyte des for?ts / Troglodyte de Baird,Troglodytes pacificus / hiemalis,Passeriformes,Troglodytidae,Troglodytes,pacificus / hiemalis
3379,7240,Sedge Wren,Troglodyte ? bec court,Cistothorus platensis,Passeriformes,Troglodytidae,Cistothorus,platensis
3382,7250,Marsh Wren,Troglodyte des marais,Cistothorus palustris,Passeriformes,Troglodytidae,Cistothorus,palustris
3385,16700,White-bellied Wren,Troglodyte ? ventre blanc,Uropsila leucogastra,Passeriformes,Troglodytidae,Uropsila,leucogastra
3388,16720,White-breasted Wood-Wren,Troglodyte ? poitrine blanche,Henicorhina leucosticta,Passeriformes,Troglodytidae,Henicorhina,leucosticta
3391,16730,Gray-breasted Wood-Wren,Troglodyte ? poitrine grise,Henicorhina leucophrys,Passeriformes,Troglodytidae,Henicorhina,leucophrys
3394,16741,Nightingale Wren,Troglodyte philom?le,Microcerculus philomela,Passeriformes,Troglodytidae,Microcerculus,philomela
3397,16770,Long-billed Gnatwren,Microbate ? long bec,Ramphocaenus melanurus,Passeriformes,Polioptilidae,Ramphocaenus,melanurus
3400,7510,Blue-gray Gnatcatcher,Gobemoucheron gris-bleu,Polioptila caerulea,Passeriformes,Polioptilidae,Polioptila,caerulea
3403,7530,California Gnatcatcher,Gobemoucheron de Californie,Polioptila californica,Passeriformes,Polioptilidae,Polioptila,californica
3406,7520,Black-tailed Gnatcatcher,Gobemoucheron ? queue noire,Polioptila melanura,Passeriformes,Polioptilidae,Polioptila,melanura
3409,7531,Black-capped Gnatcatcher,Gobemoucheron ? coiffe noire,Polioptila nigriceps,Passeriformes,Polioptilidae,Polioptila,nigriceps
3412,16790,White-lored Gnatcatcher,Gobemoucheron ? face blanche,Polioptila albiloris,Passeriformes,Polioptilidae,Polioptila,albiloris
3415,16800,Tropical Gnatcatcher,Gobemoucheron tropical,Polioptila plumbea,Passeriformes,Polioptilidae,Polioptila,plumbea
3418,7539,unid. Gnatcatcher,unid Gobemoucheron sp.,Polioptila sp.,Passeriformes,Polioptilidae,Polioptila,sp.
3421,7010,American Dipper,Cincle d'Am?rique,Cinclus mexicanus,Passeriformes,Cinclidae,Cinclus,mexicanus
3427,7261,Red-whiskered Bulbul,Bulbul orph?e,Pycnonotus jocosus,Passeriformes,Pycnonotidae,Pycnonotus,jocosus
3430,7480,Golden-crowned Kinglet,Roitelet ? couronne dor?e,Regulus satrapa,Passeriformes,Regulidae,Regulus,satrapa
3433,7490,Ruby-crowned Kinglet,Roitelet ? couronne rubis,Regulus calendula,Passeriformes,Regulidae,Regulus,calendula
3442,7473,Wood Warbler,Pouillot siffleur,Phylloscopus sibilatrix,Passeriformes,Phylloscopidae,Phylloscopus,sibilatrix
3445,7474,Dusky Warbler,Pouillot brun,Phylloscopus fuscatus,Passeriformes,Phylloscopidae,Phylloscopus,fuscatus
3454,7470,Arctic Warbler,Pouillot bor?al,Phylloscopus borealis,Passeriformes,Phylloscopidae,Phylloscopus,borealis
3460,7420,Wrentit,Cama brune,Chamaea fasciata,Passeriformes,Sylviidae,Chamaea,fasciata
3481,7471,Middendorff's Grasshopper-Warbler,Locustelle de Middendorff,Locustella ochotensis,Passeriformes,Megaluridae,Locustella,ochotensis
3484,7475,Lanceolated Warbler,Locustelle lanc?ol?e,Locustella lanceolata,Passeriformes,Megaluridae,Locustella,lanceolata
3487,7730,Gray-streaked Flycatcher,Gobemouche ? taches grises,Muscicapa griseisticta,Passeriformes,Muscicapidae,Muscicapa,griseisticta
3496,7720,Dark-sided Flycatcher,Gobemouche de Sib?rie,Muscicapa sibirica,Passeriformes,Muscicapidae,Muscicapa,sibirica
3505,7641,Siberian Rubythroat,Rossignol calliope,Luscinia calliope,Passeriformes,Muscicapidae,Luscinia,calliope
3508,7640,Bluethroat,Gorgebleue ? miroir,Luscinia svecica,Passeriformes,Muscicapidae,Luscinia,svecica
3517,26320,Narcissus Flycatcher,Gobemouche narcisse,Ficedula narcissina,Passeriformes,Muscicapidae,Ficedula,narcissina
3520,7710,Taiga Flycatcher,Gobemouche de la ta?ga,Ficedula albicilla,Passeriformes,Muscicapidae,Ficedula,albicilla
3523,7650,Northern Wheatear,Traquet motteux,Oenanthe oenanthe,Passeriformes,Muscicapidae,Oenanthe,oenanthe
3529,7660,Eastern Bluebird,Merlebleu de l'Est,Sialia sialis,Passeriformes,Turdidae,Sialia,sialis
3532,7670,Western Bluebird,Merlebleu de l'Ouest,Sialia mexicana,Passeriformes,Turdidae,Sialia,mexicana
3535,7680,Mountain Bluebird,Merlebleu azur?,Sialia currucoides,Passeriformes,Turdidae,Sialia,currucoides
3538,7540,Townsend's Solitaire,Solitaire de Townsend,Myadestes townsendi,Passeriformes,Turdidae,Myadestes,townsendi
3541,16820,Brown-backed Solitaire,Solitaire ? dos brun,Myadestes occidentalis,Passeriformes,Turdidae,Myadestes,occidentalis
3544,16870,Slate-colored Solitaire,Solitaire ardois?,Myadestes unicolor,Passeriformes,Turdidae,Myadestes,unicolor
3559,16890,Orange-billed Nightingale-Thrush,Grive ? bec orange,Catharus aurantiirostris,Passeriformes,Turdidae,Catharus,aurantiirostris
3562,16910,Russet Nightingale-Thrush,Grive rouss?tre,Catharus occidentalis,Passeriformes,Turdidae,Catharus,occidentalis
3565,16920,Ruddy-capped Nightingale-Thrush,Grive ? calotte rousse,Catharus frantzii,Passeriformes,Turdidae,Catharus,frantzii
3568,16930,Black-headed Nightingale-Thrush,Grive ? t?te noire,Catharus mexicanus,Passeriformes,Turdidae,Catharus,mexicanus
3571,16940,Spotted Nightingale-Thrush,Grive tavel?e,Catharus dryas,Passeriformes,Turdidae,Catharus,dryas
3574,7560,Veery,Grive fauve,Catharus fuscescens,Passeriformes,Turdidae,Catharus,fuscescens
3577,7570,Gray-cheeked Thrush,Grive ? joues grises,Catharus minimus,Passeriformes,Turdidae,Catharus,minimus
3580,7571,Bicknell's Thrush,Grive de Bicknell,Catharus bicknelli,Passeriformes,Turdidae,Catharus,bicknelli
3583,7580,Swainson's Thrush,Grive ? dos olive,Catharus ustulatus,Passeriformes,Turdidae,Catharus,ustulatus
3586,7590,Hermit Thrush,Grive solitaire,Catharus guttatus,Passeriformes,Turdidae,Catharus,guttatus
3589,7550,Wood Thrush,Grive des bois,Hylocichla mustelina,Passeriformes,Turdidae,Hylocichla,mustelina
3592,7611,Eurasian Blackbird,Merle noir,Turdus merula,Passeriformes,Turdidae,Turdus,merula
3595,7613,Eyebrowed Thrush,Merle obscur,Turdus obscurus,Passeriformes,Turdidae,Turdus,obscurus
3598,7614,Dusky Thrush,Grive de Naumann,Turdus naumanni,Passeriformes,Turdidae,Turdus,naumanni
3601,7612,Fieldfare,Grive litorne,Turdus pilaris,Passeriformes,Turdidae,Turdus,pilaris
3604,7600,Redwing,Grive mauvis,Turdus iliacus,Passeriformes,Turdidae,Turdus,iliacus
3610,16960,Black Thrush,Merle enfum?,Turdus infuscatus,Passeriformes,Turdidae,Turdus,infuscatus
3613,16970,Mountain Thrush,Merle de montagne,Turdus plebejus,Passeriformes,Turdidae,Turdus,plebejus
3616,7621,Clay-colored Thrush,Merle fauve,Turdus grayi,Passeriformes,Turdidae,Turdus,grayi
3619,17020,White-throated Thrush,Merle ? gorge blanche,Turdus assimilis,Passeriformes,Turdidae,Turdus,assimilis
3622,7622,Rufous-backed Robin,Merle ? dos roux,Turdus rufopalliatus,Passeriformes,Turdidae,Turdus,rufopalliatus
3625,17030,Rufous-collared Robin,Merle ? col roux,Turdus rufitorques,Passeriformes,Turdidae,Turdus,rufitorques
3628,7610,American Robin,Merle d'Am?rique,Turdus migratorius,Passeriformes,Turdidae,Turdus,migratorius
3631,17070,Red-legged Thrush,Merle vantard,Turdus plumbeus,Passeriformes,Turdidae,Turdus,plumbeus
3634,7630,Varied Thrush,Grive ? collier,Ixoreus naevius,Passeriformes,Turdidae,Ixoreus,naevius
3637,7631,Aztec Thrush,Grive azt?que,Ridgwayia pinicola,Passeriformes,Turdidae,Ridgwayia,pinicola
3640,7040,Gray Catbird,Moqueur chat,Dumetella carolinensis,Passeriformes,Mimidae,Dumetella,carolinensis
3643,17090,Black Catbird,Moqueur noir,Melanoptila glabrirostris,Passeriformes,Mimidae,Melanoptila,glabrirostris
3646,7030,Northern Mockingbird,Moqueur polyglotte,Mimus polyglottos,Passeriformes,Mimidae,Mimus,polyglottos
3649,17100,Tropical Mockingbird,Moqueur des savanes,Mimus gilvus,Passeriformes,Mimidae,Mimus,gilvus
3652,17110,Socorro Mockingbird,Moqueur de Socorro,Mimus graysoni,Passeriformes,Mimidae,Mimus,graysoni
3655,7031,Bahama Mockingbird,Moqueur des Bahamas,Mimus gundlachii,Passeriformes,Mimidae,Mimus,gundlachii
3658,7020,Sage Thrasher,Moqueur des armoises,Oreoscoptes montanus,Passeriformes,Mimidae,Oreoscoptes,montanus
3661,7050,Brown Thrasher,Moqueur roux,Toxostoma rufum,Passeriformes,Mimidae,Toxostoma,rufum
